Survey Information
ID,23
Title,eNPS March 2025
Created At,2025-03-17 03:21:16
Buyer Name,Johnny & Jugnu

Employee Statistics
Total Filtered Employees,631
Employees With Responses,454
Pending Employees,177

Response Number,Branch,Designation,Employment type,Time spent with company,"I feel comfortable approaching my Branch Leader when I have doubts or concerns. 
",My Branch Leader takes timely and effective action on employee concerns,I do not feel comfortable reporting workplace issues due to fear of retaliation from management.,My Branch Leader is actively present and engaged in daily operations.,My Branch Leader regularly recognises and appreciates good performance during shifts.,"My Branch Leader clearly communicates company policies, strategies, and changes.",I have always been treated with fairness and respect. ,I feel mentally and emotionally comfortable in my branch.,My colleagues support me during both good and difficult times.,"I feel my workplace is free from verbal, physical or emotional mistreatment.",My colleagues do not make inappropriate comments about my personal or physical attributes.,I feel accepted as part of my team. ,"Everyone at my branch is given equal opportunities for hiring, feedback, and support.",I feel like the workload is fairly distributed among team members,Promotions and career growth at JJ are based on skills and performance rather than favouritism.,I consistently receive constructive feedback from my Manager that helps me improve my performance.,My Manager consistently provides me with guidance for my growth and development.,"I understand JJ’s core values [be the best, empathy, we are one, resilience, happiness, sincerity, homie and innovation] and can apply them in my personal and professional life.",I am satisfied with my salary,I am satisfied with the perks and benefits provided by the Company.,My HR Team is approachable and addresses my concerns in a timely manner.,My company invests in my training and helps me grow in my job,I feel inspired by my training team to be better.,The training I received from my training team helped me do my job better.,"I feel that workplace safety standards and protocols are properly followed, and I feel physically safe at work.","On a scale of 1 to 10, how likely are you to recommend JJ as a workplace to your friends and family? ",What improvements would enhance your experience at JJ?
Response_395,Johar Town Branch,Crew,Part time,3-6 months,1. strongly disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,1. Strongly Disagree,3. Agree,1. Strongly Disagree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,10 = Extremely likely,Please give me promotion from part time to full timer
Response_396,Phase 4 (CC),Crew,Contractual,0-3 months,2. disagree,2. Disagree,3. Agree,2. Disagree,3. Agree,4. Strongly Agree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,1. Strongly Disagree,3. Agree,1. Strongly Disagree,3. Agree,1. Strongly Disagree,2. Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,7,Mai NY JJ last 3 months pahly join kia tha k Mai apna career  is Sy behtar kro ga Ku k Mai NY soona tha k brand Bohat acha hai company policies Bohat achi hai or bilkul asaa hee hai company policies Bohat achi hai Lekin Branch's may shift leader polices pr Amal ni krty  or apna Kam khud ni krty jesy on operation khud gaib hojana or Kisi senior ko apni jaga kharà kr jana Jo k sirf Naam ka hee senior hotaa hai team management ka osko Kuch ni pata hota wo khud to senior ban kr kharaa hojata hai or naa wo khud Kam krtaa hai or naa wo on Sy Kam krwta hai Jo osky Sath k loog Jo osky Sath hair howy ho jis Sy Jo new any waly staff hotaa hai wo yeh sab dekh kr upset hojta hai k yr yeh sab kia hai or wo  company policies ko Bora kehta hai Lekin Galt actually may wo Kuch log hoty hai kindly on senior ko yaa to  manger kr dy ya onkoo baty k wo be crew he hai 
Response_397,Wehshi Lab,Crew,Permanent,More than 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,Sub acha Jara h ok all good 
Response_398,Johar Town Branch,Crew,Contractual,6 months to 1 year,3. agree,3. Agree,1. Strongly Disagree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,8,JJ ko mazid batri ke zarorat hai kafi had tak JJ baki Restorents say acha hai lakin is ko or mazid bahater honay ke zarrot hai employs ka hawaly say contrecutals ka over time rakay phasility ka hawalay say bather ho sab sa bara promosion jaldi kia keray on the bass of the skills of the employ .thankyou
Response_399,Johar Town Branch,Crew,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,JJ mai rehte hue Mai nai bht acha experience hassil kia hai mjhe company Mai 3 saal ho gae hain.mai nai in 3 saalon Mai JJ sai bht kuch seekha.mjhe JJ sai koi complain nai hai bs aik cheez hai aur wo yai Kai JJ ko new events aur growth Kai mawaqai on krne chaiye.
Response_400,Johar Town Branch,Crew,Contractual,More than 1 year,3. agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,9,Monitor and holding instrument like tap holder and properly set-up dispatch 
Response_401,Bahria Town,Crew,Contractual,0-3 months,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,Everything is perfect but with the time it could be enhanced 
Response_402,Bahria Town,Crew,Permanent,More than 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,9,Employees ko discount bas de de baqi sab kuch OK hai 
Response_403,Bahria Town,Crew,Contractual,More than 1 year,2. disagree,2. Disagree,1. Strongly Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,10 = Extremely likely,Filhal Kuch mind Mai nhi a raha
Response_404,Bahria Town,Crew,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,9,I was mentioned disagree with my salarie due to. If someone new Hired and his salarie is 37k. And after 4 of my service my salary also 37k. And also my annual bonus is pending I was FOS of this issue but it's not received yet.
Response_405,Bahria Town,Crew,Permanent,More than 1 year,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,Good work pl
Response_406,Johar Town Branch,Delivery Rider,Part time,6 months to 1 year,3. agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,9,Meter reading nhi honi chayea.. Jisy Kam ho raha h wo bilkol sai h 
Response_407,Wehshi Lab,Crew,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,",
"
Response_408,Wehshi Lab,Crew,Permanent,More than 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,Keep going 
Response_409,Emporium Branch,Crew,Part time,3-6 months,4. strongly agree,4. Strongly Agree,2. Disagree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,"Every thing is ok
"
Response_410,Wehshi Lab,Crew,Permanent,More than 3 years,3. agree,3. Agree,2. Disagree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,10 = Extremely likely,Me chahta hu K Wabii Ki jld se jld branches open ho take hame age bherne ka moja mile or Apne ap ko sabit KR sky K ham Bhi Kisi se Kam nahi
Response_411,Johar Town Branch,Delivery Rider,Part time,More than 1 year,3. agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,10 = Extremely likely,Sir salary bharhye halmet company dain 
Response_412,Johar Town Branch,Delivery Rider,Permanent,More than 3 years,4. strongly agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,"4. Strongly Agree, 3. Agree",3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,10 = Extremely likely,Miter reding k hisab sy Kam ni Hona chahiay jissy order ja rahy h wesy hi sai h 
Response_413,Johar Town Branch,Crew,Permanent,More than 3 years,3. agree,3. Agree,3. Agree,2. Disagree,1. Strongly Disagree,3. Agree,4. Strongly Agree,2. Disagree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,1. Strongly Disagree,2. Disagree,1. Strongly Disagree,3. Agree,3. Agree,3. Agree,1. Strongly Disagree,1. Strongly Disagree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,1. Strongly Disagree,5,Facilitie ky boht masly hai or crew KO appreciate nahi kia jata jis waja sy energy down rehti hai larko ki unko yehi lagta hai. Jitna marzi kam krlo hum kn sa kisi ny puchna hai iske ilawa bonuses boht lait aty hai 3/3 month guzar jaty hai bonuses ka pata hi nahi hota agr loan apply kro to wo jldi nai aty 1/1.5 month sy loan nai aty so plz nichy kam krny waly logo ka bhi socha kry thanks 
Response_414,Johar Town Branch,Crew,Contractual,6 months to 1 year,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,"Company allowed at lest one refreshment after 3 month 
"
Response_415,Cloud Kitchen,Crew,Part time,3-6 months,3. agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,Am very satisfied with Jhony jugnu 
Response_416,Johar Town Branch,Crew,Permanent,More than 1 year,4. strongly agree,3. Agree,1. Strongly Disagree,3. Agree,2. Disagree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,Agr koi Acha kaam kr rha hai to usy poory staff k samny appreciate kia jae taaky baqi log bhi us ki tarha Kam krny ki koshish kryn
Response_417,Johar Town Branch,Crew,Contractual,0-3 months,1. strongly disagree,3. Agree,3. Agree,1. Strongly Disagree,3. Agree,3. Agree,1. Strongly Disagree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,Everything is okay and Nice to meet you JJ company 
Response_418,Johar Town Branch,Crew,Permanent,More than 3 years,4. strongly agree,3. Agree,2. Disagree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,1. Strongly Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,8,Nocomment
Response_419,Johar Town Branch,Crew,Part time,3-6 months,3. agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,10 = Extremely likely,Display Acha hona chaya  
Response_420,Johar Town Branch,Crew,Permanent,3-6 months,4. strongly agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,Humri advanced ki request apprved honi chiy
Response_421,Johar Town Branch,Crew,Permanent,More than 1 year,4. strongly agree,3. Agree,2. Disagree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,3. Agree,2. Disagree,2. Disagree,4. Strongly Agree,2. Disagree,2. Disagree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,7,Salary increase Karen or food safety ko behter kia jaey delivery ka tareka kar behter kia jaey sab ground floor pe laya jae kahne ka mayar thek kia jaey crew ko appreciate kia jaey or company ke benefits time pe clear kiye jaen atc atc.... 
Response_422,Phase 4 (CC),Delivery Rider,Permanent,More than 3 years,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely, Hum chate hain ke jise KFC me hota k foodpanda k order un k riders deliver krte hai humre restaurant me b asa e hona chahiye taaky hum customer ko behtar service provide kr saaky. Thank you 
Response_423,Phase 4 (CC),Crew,Permanent,More than 3 years,3. agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,1. Strongly Disagree,3. Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,Ma is company me ek cleaner hu. Mujh Is company me 5 saal se zyada time hogya Hain. Ma chata hu k mere bacho ki fees ka Kuch % hisa company pay kre Kyuke k ma rent pe rehta hu r akala kamane wala hu. Ghar ka guzara mushkil se hota ha. Mehbani farmye r mere is nazar asani kre. Thank you.
Response_424,Wehshi Lab,Crew,Contractual,More than 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,"Staff Food Improvement
Staff Engagement Activities Increase
"
Response_425,Wehshi Lab,Crew,Part time,3-6 months,4. strongly agree,3. Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,Staf food 
Response_426,Emporium Branch,Crew,Contractual,3-6 months,3. agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,10 = Extremely likely,Sir to give us good food and give us a good food
Response_427,Wehshi Lab,Crew,Contractual,More than 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,8,1 Staff food ko behtar Kiya jayee 
Response_428,Phase 6,Crew,Contractual,6 months to 1 year,4. strongly agree,4. Strongly Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,10 = Extremely likely,Opportunities and growth
Response_429,Phase 6,Crew,Contractual,More than 1 year,4. strongly agree,3. Agree,2. Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,3. Agree,3. Agree,10 = Extremely likely,All good
Response_430,Phase 6,BOH Manager,Permanent,More than 1 year,4. strongly agree,3. Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,3. Agree,3. Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,2. Disagree,2. Disagree,3. Agree,4. Strongly Agree,3. Agree,10 = Extremely likely,Proper Training Provide and Working on People 
Response_431,Phase 6,DFPL,Permanent,More than 1 year,4. strongly agree,3. Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,2. Disagree,3. Agree,3. Agree,2. Disagree,2. Disagree,4. Strongly Agree,9,In JJ we learn we are one but it's not applied if we face any property loss or damage so we have to pay it and we face it we are 100% responsible for that no one support 
Response_432,Phase 6,Crew,Contractual,More than 1 year,4. strongly agree,4. Strongly Agree,1. Strongly Disagree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,3. Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,4. Strongly Agree,10 = Extremely likely,Jj culture is best my experience is best
